JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460079.731209,11.889,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.077,Z,16.766,16.401,,PNV J17224490-4137160,VVS,STD,,,,
2460079.731395,9.555,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.076,Z,17.458,16.723,,PNV J17224490-4137160,VVS,STD,,,,
2460079.731620,11.309,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.076,Z,16.378,15.752,,PNV J17224490-4137160,VVS,STD,,,,
2460079.731846,11.896,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.076,Z,16.763,16.388,,PNV J17224490-4137160,VVS,STD,,,,
2460079.732020,9.547,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.076,Z,17.478,16.742,,PNV J17224490-4137160,VVS,STD,,,,
2460079.732257,11.308,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.075,Z,16.378,15.752,,PNV J17224490-4137160,VVS,STD,,,,
2460079.732471,11.899,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.075,Z,16.755,16.389,,PNV J17224490-4137160,VVS,STD,,,,
2460079.732645,9.545,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.075,Z,17.470,16.724,,PNV J17224490-4137160,VVS,STD,,,,
2460079.732882,11.304,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.075,Z,16.378,15.756,,PNV J17224490-4137160,VVS,STD,,,,
2460079.733096,11.875,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.074,Z,16.762,16.387,,PNV J17224490-4137160,VVS,STD,,,,
