JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457692.31250,8.0,,,Vis.,JJNA,V,TYCHO-2 6851-6563-1,,X16883F,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.47708,7.9,,,Vis.,WWK,B,7.9,8.0,X16833D,10x50B,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.47917,7.9,,,Vis.,FFAD,,79,,X16871AOL,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457692.4917,7.4,,,Vis.,BZX,,7.2,7.5,X16834BT,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457692.94375,7.9,,,Vis.,WCG,,75,80,X16833NS,"10"" f/5 dob; x39",,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.98056,8.0,,,Vis.,PEX,U,80,,X16815DT,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457692.989,8.1,,,Vis.,BNK,,79,91,'',,,,Z,,,,V5855 SGR,AAVSO,STD,,,,
2457693.22917,7.0,,,Vis.,CKLA,,72,,x16871qa,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.26250,7.50,,,Vis.,DMIB,,7.5,,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.26944,7.4,,,Vis.,DMIB,,7.4,,X16832KM,Bino 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.27083,8.2,,,Vis.,OJR,,79,83,X16838BJ,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457693.31250,8.2,,,Vis.,PMB,,7.5,8.6,X16838KB,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.47292,7.9,,,Vis.,WWK,B,7.9,8.0,X16833D,10x50B,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.47917,7.9,,,Vis.,FFAD,,79,,X16871AOL,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457693.4986,7.4,,,Vis.,BZX,,7.2,7.5,X16834BT,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457693.49861,7.6,,,Vis.,MCPA,,75,79,X16832KM,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.53994,7.837,0.009,,V,ELYA,,ENSEMBLE,91,X16866AHM,,0,3.655,Z,,9.031,,TCP J18102829-2729590,AAVSO,STD,1,,,
2457693.56181,7.8,,,Vis.,SSHA,,75,79,X16838AK,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.91458,8.0,,,Vis.,WCG,,75,86,X16833NS,"10"" f/5 dob; x39",,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457693.91503,7.941,0.005,,V,BHQ,,100,91,X16832BAY,,0,1.978,Z,-9.069,-9.993,,TCP J18102829-2729590,VSS,STD,,,,
2457693.91770,8.626,0.005,,B,BHQ,,100,91,X16832BAY,,0,2.022,Z,-7.597,-8.976,,TCP J18102829-2729590,VSS,STD,,,,
2457693.92803,6.879,0.029,,R,BHQ,,124,STAR 1,X16852EQ,,0,2.256,Z,-6.946,-10.352,,TCP J18102829-2729590,VSS,STD,,,,
2457693.92887,5.807,0.037,,I,BHQ,,124,STAR 1,X16852EQ,,0,2.275,Z,-5.929,-9.804,,TCP J18102829-2729590,VSS,STD,,,,
2457693.9896,7.9,,,Vis.,PEX,,72,80,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457694.21181,7.7,,,Vis.,BLD,,75,79,Z16838LO,,,,Z,,,,TCP J18102829-2729590,ASSA,STD,,,,
2457694.22569,8.02,,,Vis.,DMIB,B,7.9,8.6,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457694.23056,7.90,,,Vis.,DMIB,B,7.9,,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457694.23958,7.83,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457694.4306,7.8,,,Vis.,AAX,,77,78,X16815EF,,,,Z,,,,TCP J18102829-2729590,NEOA-JBS,STD,,,,
2457694.43403,7.8,,,Vis.,PLA,,7.5,7.9,X16832GH,Maksutov 90mm,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457694.47569,7.9,,,Vis.,WWK,B,7.9,8.0,X16833D,10x50B,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457694.4875,7.8,,,Vis.,BZX,,7.5,7.9,X16834BT,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457694.50278,7.8,,,TG,GJED,,ENSEMBLE,000-BCB-535,X16894AAU,Estimated magnitude of check star is 9.058 (-->error of -0.066),0,,Z,na,-14.336,,TCP J18102829-2729590,AAVSO,STD,,,,
2457694.55347,7.8,,,Vis.,MCPA,,79,75,X16833OG,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457695.0083,8.0,,,Vis.,PEX,U,80,,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457695.24097,7.70,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457695.25486,7.80,,,Vis.,DMIB,,7.2,8.0,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457695.43403,8.0,,,Vis.,PLA,,7.5,7.9,X16832GH,Binocular 20x80,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457695.47153,8.1,,,Vis.,GLG,,7.9,8.6,X16838KB,12x63 binocs on tripod,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457696.23403,7.90,,,Vis.,DMIB,,7.9,,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457696.24028,7.83,,,Vis.,DMIB,,7.5,7.9,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457696.47153,8.2,,,Vis.,SLH,B,80,86,x16832baq,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457696.50000,8.3,,,Vis.,FFAD,,79,86,X16871AOL,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457696.50833,8.25,,,TG,GJED,,ENSEMBLE,000-BCB-535,X16894AAU,Check star estimated mag: 9.062 (error: -0.062),0,,Z,na,-13.669,,TCP J18102829-2729590,AAVSO,STD,,,,
2457696.56042,8.4,,,Vis.,SSHA,B,83,86,X16838AK,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457696.9847,8.4,,,Vis.,PEX,,80,86,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457697.45000,8.2,,,Vis.,ACN,K,790,860; 910,X16815DM,,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
